season,1,2,3,4,5,6,7,8,9,10,11
1,0.5057959368099113,0.4875606197561093,0.5747728427657695,0.6730727407445009,0.8093763013986631,0.95897910506033,,,,,
2,0.30062164381262,0.3357428171753748,0.3694742945154668,0.4312887103520081,0.4878047644107589,0.5706147771825136,0.6617845400283988,0.8243314570626583,,,
3,0.2834728616168873,0.3047529720386056,0.3426619757113343,0.3851126254813551,0.4373306898138564,0.5965771471548307,0.5905131704608716,0.6893949200431623,0.8258441664037769,0.9574029355908624,
4,0.2851833700534605,0.2837210313321642,0.3086087296371254,0.3446201268824834,0.3834020792590925,0.440498096758209,0.5049841741299039,0.5894670366646599,0.7080273633068871,0.8279812884475418,
5,0.2568949537584196,0.279752887696451,0.3140701485022473,0.3440242147392511,0.3853397555674048,0.4395686758119753,0.5107640002378471,0.5925319208024333,0.7129503324752604,0.8435607929409454,
6,0.2567378468281374,0.2556676273475264,0.3067523371637272,0.3395083670034529,0.3902866128808789,0.4398009207438617,0.5073284459768068,0.5916101700189224,0.6949470475160382,0.8315722581124919,
7,0.238703241772974,0.2824748074690781,0.3476866778835894,0.3478570658385422,0.3931902853659723,0.4382378884625001,0.5121611947643624,0.5990804073664038,0.6978748170608338,0.8304598925525747,
8,0.2377216584837391,0.2377188960060497,0.2555779483808582,0.281285079062086,0.3476532954554361,0.3894110388161487,0.4414879070987943,0.5055508892476434,0.5922913736496759,0.6953576633853937,0.8339995575104351
9,0.1922334380864662,0.2216810011654395,0.2387320811611722,0.2814906413085434,0.3096392998798239,0.3451301229112523,0.4417035464030808,0.5970389719852512,0.6953362005127321,0.8394735679875686,
10,0.2804848183452129,0.2813480999071491,0.3173390462874038,0.3544191946567168,0.3901732217099815,0.4524859974197083,0.5118958060422817,0.601198487690316,0.7106347049857891,0.8440950743686764,
11,0.2578631859843206,0.284595497333739,0.3110136297340287,0.34831001083661,0.3874421278980749,0.4475108758900186,0.5073824159907129,0.592400383173181,0.696008882151759,0.8459007123388359,
12,0.282118751763122,0.279642797956276,0.3096399082431337,0.3454077736953492,0.3858067500303576,0.4402398952885186,0.5066900338817233,0.5935999295831238,0.705522618405892,0.8387174847457474,
13,0.2580700632703729,0.2817533536881215,0.3117320595426411,0.3414172734161797,0.3888951424622128,0.4493810807326933,0.502311803344285,0.5931486734102862,0.713361375337633,0.8354977528020268,
14,0.2574242969755575,0.2570312697416552,0.2813552006045053,0.3116643531419629,0.3426863523725491,0.3871629897849483,0.4389466298913603,0.499247149572034,0.6973963063868898,0.8267860102531995,
15,0.2357548149813649,0.2615750012917577,0.2826083033032818,0.3497846911825635,0.3900240417593504,0.3903086224350953,0.4409659778760694,0.4436796560154959,0.592657769879206,0.8390081233099688,
16,0.256748861766862,0.2589910997533763,0.2822363172616937,0.3099379099802449,0.3410102695640881,0.3906292529035709,0.4507139224855093,0.5106083633619646,0.5874088766296135,0.7100273008700867,
17,0.2564580789777391,0.2600531766746969,0.2808513078729855,0.3155800265002195,0.3461027982075844,0.3914152648844835,0.3925098547038848,0.4461372076383973,0.4996729545256662,0.5890931867254711,0.6983574565803332
18,0.2605500451056334,0.2802601732412756,0.346342360161983,0.3469923857331884,0.3446294979268569,0.387041791348252,0.4445304165630669,0.5140532833112588,0.5874235036243436,0.7139732143285522,
19,0.2364899545357167,0.2592525203256045,0.2881934835361656,0.3121773959955322,0.3444211800952406,0.3478293053608599,0.3891806269748066,0.4317817174609121,0.5146428150334744,0.5954077775019904,0.7161968220254824
20,0.2603301547509384,0.2583494181381643,0.2828097020087112,0.3073106078098611,0.3436318036888472,0.3892270809174338,0.4440319288586256,0.5136970317313595,0.690045918472257,0.8375284311881299,
21,0.2385191504529589,0.2370941145352992,0.3115548251952056,0.3095568022129875,0.3452129782703853,0.3437488115928584,0.384527156996175,0.4408575069441875,0.5076372898461126,0.7041403136694009,0.7095093159920083
22,0.2580197762879072,0.2582355279612507,0.2785899391597436,0.3128966834620824,0.344813251402822,0.3441615900733485,0.3912346188516198,0.5129820829466435,0.5972877989002858,0.8309058287707201,
23,0.2373300814773128,0.2360661548129405,0.2585905678870474,0.2817793104551618,0.3450880767675291,0.344448525798778,0.3921158764305566,0.4380379734130293,0.5091096219407523,0.5886830660842111,0.6967920037626326
24,0.2565089662414031,0.2563008831698277,0.2831667895570417,0.3120476377202476,0.3474924272254218,0.3880839437097593,0.4432474939755143,0.5968025695628795,0.7072092948942312,0.8302319993306307,
25,0.2377314335540591,0.237582828997017,0.2837166929970165,0.2819588605504977,0.309649777008553,0.3431135093874372,0.3863153215782579,0.5094240196705052,0.5960225149110703,0.7044295970874328,
26,0.308980618269067,0.3886108846542357,0.5089411656828604,0.8393676968691824,,,,,,,
27,0.2376605617971336,0.2573240992557494,0.2812040184581929,0.3126612989872729,0.3447229302467022,0.3450648565669613,0.3873708417812289,0.515681669959252,0.6997329138311368,,
28,0.2596813314926971,0.2522006600903688,0.3061453177163938,0.3106033361800504,0.3425162542157712,0.3395384530391201,0.3813375244913993,0.4297590938836171,0.4998128473086056,0.5808188784738003,0.7042163257405442
29,0.2034267251149734,0.2031304417475329,0.2193803862914351,0.2360949683715307,0.2566631468549104,0.2820033669947157,0.305234250598824,0.3785696782633166,0.4354281510449588,0.468951064076236,0.6902880842378218
30,0.2001046427199579,0.2000195339312389,0.2128977222713475,0.2301063697031164,0.2711445932710001,0.301240802629438,0.334769602262211,0.3646829965835222,0.4534690513483587,0.6712631750457871,
31,0.1884159812670179,0.202685353299993,0.2129971565067071,0.233370821082475,0.2472685830559837,0.3030278131656131,0.338013088021416,0.3810339645237037,0.4950416050606391,0.7165851695844885,
32,0.2160867772877737,0.2350205849920393,0.2540151666539417,0.2782331968679576,0.3042323698631083,0.3381546132866836,0.3735464774231647,0.4285275640243464,0.495228455924076,0.5911140561163739,0.5877073577210632
33,0.2331128081949436,0.2340806079685357,0.2767680441847353,0.3415180392077654,0.3836440241021422,0.4339022323927559,0.50323958467454,0.5948044576708198,0.5948253126062769,,
34,0.2200932144274831,0.2168092745061402,0.2565310541177458,0.2778594816765785,0.306402901340482,0.3037386595769218,0.3343620769901293,0.3790245341624614,0.4416991857561272,0.4950373095558101,0.5886241752863446
