season,rule_variant,exact_match_rate,hit_rate_any,align_fan,align_judge,sens_fan,sens_judge
1,percent,1.0,1.0,1.0,0.5,0.7802743205272237,0.6641388440117574
1,percent_js,0.5,0.5,0.5,1.0,0.7802743205272237,0.6641388440117574
1,rank,0.75,0.75,0.75,0.75,0.691595378522852,0.729060855202805
1,rank_js,0.5,0.5,0.5,1.0,0.691595378522852,0.729060855202805
2,percent,1.0,1.0,1.0,0.42857142857142855,0.828350196709608,0.22883147898777934
2,percent_js,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.828350196709608,0.22883147898777934
2,rank,1.0,1.0,1.0,0.42857142857142855,0.474360054753886,0.562632134515934
2,rank_js,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.474360054753886,0.562632134515934
3,percent,0.625,0.75,0.7142857142857143,0.7142857142857143,0.775709791150278,0.905425904133733
3,percent_js,0.5,0.625,0.5714285714285714,0.7142857142857143,0.775709791150278,0.905425904133733
3,rank,0.625,0.75,0.7142857142857143,0.5714285714285714,0.846261538760581,0.7588684516851971
3,rank_js,0.5,0.625,0.5714285714285714,0.7142857142857143,0.846261538760581,0.7588684516851971
4,percent,0.5,0.5,0.625,0.875,0.7327975067456608,0.9815440994611251
4,percent_js,0.375,0.375,0.5,1.0,0.7327975067456608,0.9815440994611251
4,rank,0.5,0.5,0.625,0.75,0.8587242932335872,0.8882859425225463
4,rank_js,0.5,0.5,0.625,0.75,0.8587242932335872,0.8882859425225463
5,percent,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.5606486396178954,0.8788423194789988
5,percent_js,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.5606486396178954,0.8788423194789988
5,rank,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.7901976637799729,0.7965253734704397
5,rank_js,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7901976637799729,0.7965253734704397
6,percent,0.875,0.875,0.8571428571428571,0.7142857142857143,0.7828753941846529,0.9168970111137135
6,percent_js,0.625,0.625,0.5714285714285714,1.0,0.7828753941846529,0.9168970111137135
6,rank,0.75,0.75,0.7142857142857143,0.8571428571428571,0.8182989441648418,0.8754477531073513
6,rank_js,0.625,0.625,0.5714285714285714,1.0,0.8182989441648418,0.8754477531073513
7,percent,0.625,0.75,0.8333333333333334,0.5,0.8084734830697753,0.9601281969355542
7,percent_js,0.5,0.625,0.6666666666666666,0.8333333333333334,0.8084734830697753,0.9601281969355542
7,rank,0.75,1.0,1.0,0.5,0.8960575330871441,0.8542961991610675
7,rank_js,0.5,0.75,0.6666666666666666,0.8333333333333334,0.8960575330871441,0.8542961991610675
8,percent,0.5555555555555556,0.5555555555555556,0.5,0.875,0.835814626728843,0.962710488962189
8,percent_js,0.4444444444444444,0.4444444444444444,0.375,1.0,0.835814626728843,0.962710488962189
8,rank,0.5555555555555556,0.5555555555555556,0.5,0.75,0.8917065569485935,0.8894925235680234
8,rank_js,0.4444444444444444,0.4444444444444444,0.375,0.875,0.8917065569485935,0.8894925235680234
9,percent,0.6666666666666666,0.8888888888888888,1.0,0.4,0.6354645854779368,0.9275284186562363
9,percent_js,0.4444444444444444,0.6666666666666666,0.6,0.8,0.6354645854779368,0.9275284186562363
9,rank,0.6666666666666666,0.6666666666666666,0.6,0.8,0.7587213013636506,0.8420360498591147
9,rank_js,0.6666666666666666,0.6666666666666666,0.6,0.8,0.7587213013636506,0.8420360498591147
10,percent,0.875,0.875,0.75,0.75,0.6842759423097621,0.9637493541420167
10,percent_js,0.625,0.625,0.5,1.0,0.6842759423097621,0.9637493541420167
10,rank,0.75,0.75,0.625,0.75,0.8743458770753397,0.8045050519152495
10,rank_js,0.625,0.625,0.5,0.875,0.8743458770753397,0.8045050519152495
11,percent,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4383160984331667,0.8504547874545704
11,percent_js,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.4383160984331667,0.8504547874545704
11,rank,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6419104422136591,0.7069712659188242
11,rank_js,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.6419104422136591,0.7069712659188242
12,percent,0.75,0.75,0.75,0.75,0.7058880200431717,0.9325946604666632
12,percent_js,0.625,0.625,0.625,0.75,0.7058880200431717,0.9325946604666632
12,rank,0.875,0.875,0.875,0.625,0.8264599649012208,0.8272450077055638
12,rank_js,0.625,0.625,0.625,0.75,0.8264599649012208,0.8272450077055638
13,percent,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.775770577481346,0.9566620419018331
13,percent_js,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,0.775770577481346,0.9566620419018331
13,rank,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.8551337836173148,0.8760782291976186
13,rank_js,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,0.8551337836173148,0.8760782291976186
14,percent,0.875,1.0,0.8571428571428571,0.42857142857142855,0.8190611702716535,0.7110921911103725
14,percent_js,0.5,0.625,0.42857142857142855,0.8571428571428571,0.8190611702716535,0.7110921911103725
14,rank,0.75,0.875,0.7142857142857143,0.5714285714285714,0.7890953090462255,0.7319392220472116
14,rank_js,0.5,0.625,0.42857142857142855,0.8571428571428571,0.7890953090462255,0.7319392220472116
15,percent,0.5714285714285714,0.7142857142857143,0.25,0.75,0.7387137390562488,0.7717371095657897
15,percent_js,0.42857142857142855,0.5714285714285714,0.0,1.0,0.7387137390562488,0.7717371095657897
15,rank,0.7142857142857143,0.8571428571428571,0.5,0.5,0.7597552899191788,0.7136152441288637
15,rank_js,0.5714285714285714,0.7142857142857143,0.25,0.75,0.7597552899191788,0.7136152441288637
16,percent,1.0,1.0,0.875,0.875,0.8438843528236564,0.984055324991606
16,percent_js,1.0,1.0,0.875,0.875,0.8438843528236564,0.984055324991606
16,rank,0.875,0.875,0.875,0.75,0.9041805263909332,0.9077788954853524
16,rank_js,1.0,1.0,0.875,0.875,0.9041805263909332,0.9077788954853524
17,percent,0.75,0.75,0.75,0.5,0.5271425208286077,0.9103422934319796
17,percent_js,0.25,0.25,0.25,0.875,0.5271425208286077,0.9103422934319796
17,rank,0.625,0.625,0.625,0.375,0.7152597701521454,0.7316644667411097
17,rank_js,0.25,0.25,0.25,0.75,0.7152597701521454,0.7316644667411097
18,percent,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5,0.6408734117629227,0.8891544479207161
18,percent_js,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6408734117629227,0.8891544479207161
18,rank,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.7908458244982879,0.7621735996284155
18,rank_js,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.7908458244982879,0.7621735996284155
19,percent,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.7777777777777778,0.8032216440453103,0.9679548660371029
19,percent_js,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.8032216440453103,0.9679548660371029
19,rank,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.8626071571210066,0.8713806915132379
19,rank_js,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.8888888888888888,0.8626071571210066,0.8713806915132379
20,percent,0.5,0.5,0.2857142857142857,0.5714285714285714,0.6277685191293901,0.7986983400378377
20,percent_js,0.375,0.375,0.14285714285714285,0.7142857142857143,0.6277685191293901,0.7986983400378377
20,rank,0.25,0.25,0.2857142857142857,0.5714285714285714,0.6799572497872198,0.7749750977642879
20,rank_js,0.25,0.25,0.0,0.8571428571428571,0.6799572497872198,0.7749750977642879
21,percent,0.6666666666666666,1.0,0.75,0.75,0.6873797911374758,0.9096584704467361
21,percent_js,0.5,0.8333333333333334,0.5,0.75,0.6873797911374758,0.9096584704467361
21,rank,0.3333333333333333,0.6666666666666666,0.75,0.5,0.792931817015946,0.8397312307253654
21,rank_js,0.5,0.8333333333333334,0.5,1.0,0.792931817015946,0.8397312307253654
22,percent,0.5714285714285714,0.7142857142857143,0.6,1.0,0.6716397949611517,0.8896615476948566
22,percent_js,0.5714285714285714,0.7142857142857143,0.6,1.0,0.6716397949611517,0.8896615476948566
22,rank,0.42857142857142855,0.7142857142857143,0.6,0.8,0.7801397590262629,0.8246473686082041
22,rank_js,0.42857142857142855,0.7142857142857143,0.6,0.8,0.7801397590262629,0.8246473686082041
23,percent,0.625,0.75,0.7142857142857143,0.5714285714285714,0.7062306534248582,0.8842669299670297
23,percent_js,0.375,0.5,0.42857142857142855,0.8571428571428571,0.7062306534248582,0.8842669299670297
23,rank,0.625,0.75,0.7142857142857143,0.5714285714285714,0.7636015130755959,0.8304052170529123
23,rank_js,0.5,0.625,0.5714285714285714,0.7142857142857143,0.7636015130755959,0.8304052170529123
24,percent,0.75,0.875,0.7142857142857143,0.42857142857142855,0.4378182269579655,0.854113541943871
24,percent_js,0.5,0.625,0.42857142857142855,0.7142857142857143,0.4378182269579655,0.854113541943871
24,rank,0.5,0.625,0.42857142857142855,0.7142857142857143,0.7662378704581485,0.7890350896413237
24,rank_js,0.5,0.625,0.42857142857142855,0.7142857142857143,0.7662378704581485,0.7890350896413237
25,percent,0.2857142857142857,0.5714285714285714,0.4,0.8,0.7088779340440736,0.9253351307867932
25,percent_js,0.14285714285714285,0.42857142857142855,0.2,0.8,0.7088779340440736,0.9253351307867932
25,rank,0.2857142857142857,0.5714285714285714,0.4,0.6,0.821341496514064,0.7941428421303075
25,rank_js,0.14285714285714285,0.42857142857142855,0.2,0.8,0.821341496514064,0.7941428421303075
26,percent,1.0,1.0,,,0.48286339409711154,0.9399216954964491
26,percent_js,1.0,1.0,,,0.48286339409711154,0.9399216954964491
26,rank,1.0,1.0,,,0.7058883147424307,0.7613807379696148
26,rank_js,1.0,1.0,,,0.7058883147424307,0.7613807379696148
27,percent,0.14285714285714285,0.42857142857142855,0.2,0.8,0.33075233263448833,0.9326963551550461
27,percent_js,0.0,0.2857142857142857,0.0,1.0,0.33075233263448833,0.9326963551550461
27,rank,0.42857142857142855,0.7142857142857143,0.4,0.2,0.6291658300849127,0.7152064354513836
27,rank_js,0.14285714285714285,0.42857142857142855,0.0,0.8,0.6291658300849127,0.7152064354513836
28,percent,1.0,1.0,0.8333333333333334,0.5,0.762834031775568,0.31940811681892545
28,percent_js,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.762834031775568,0.31940811681892545
28,rank,0.7142857142857143,0.7142857142857143,0.5,0.5,0.5956530855859915,0.5878669927066997
28,rank_js,0.7142857142857143,0.7142857142857143,0.5,0.6666666666666666,0.5956530855859915,0.5878669927066997
29,percent,1.0,1.0,1.0,0.42857142857142855,0.9481021747314162,0.15683981800896846
29,percent_js,1.0,1.0,1.0,0.42857142857142855,0.9481021747314162,0.15683981800896846
29,rank,1.0,1.0,1.0,0.42857142857142855,0.44365660690566594,0.7199174960647975
29,rank_js,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.5714285714285714,0.44365660690566594,0.7199174960647975
30,percent,1.0,1.0,1.0,0.6,0.9642898022322512,0.02709028493120777
30,percent_js,1.0,1.0,1.0,0.6,0.9642898022322512,0.02709028493120777
30,rank,0.875,0.875,0.8,0.6,0.41692537693512605,0.7020185427592631
30,rank_js,0.75,0.75,0.6,0.6,0.41692537693512605,0.7020185427592631
31,percent,1.0,1.0,1.0,0.16666666666666666,0.8483492897935545,0.38069511013184215
31,percent_js,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.3333333333333333,0.8483492897935545,0.38069511013184215
31,rank,0.8888888888888888,1.0,1.0,0.16666666666666666,0.6397599156735224,0.6143297487647901
31,rank_js,0.7777777777777778,0.8888888888888888,0.8333333333333334,0.3333333333333333,0.6397599156735224,0.6143297487647901
32,percent,1.0,1.0,0.8888888888888888,0.2222222222222222,0.8625765885466495,-0.06373746811424155
32,percent_js,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.8625765885466495,-0.06373746811424155
32,rank,1.0,1.0,0.8888888888888888,0.2222222222222222,0.3664561255299887,0.4711146087963849
32,rank_js,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.3664561255299887,0.4711146087963849
33,percent,1.0,1.0,1.0,0.25,0.8914712956000067,0.3249601240433001
33,percent_js,0.8333333333333334,0.8333333333333334,0.75,0.5,0.8914712956000067,0.3249601240433001
33,rank,1.0,1.0,1.0,0.25,0.6584450429926867,0.5956754462403825
33,rank_js,0.8333333333333334,0.8333333333333334,0.75,0.5,0.6584450429926867,0.5956754462403825
34,percent,0.875,0.875,1.0,0.0,0.8710174027857289,-0.03945146884783604
34,percent_js,1.0,1.0,0.8571428571428571,0.14285714285714285,0.8710174027857289,-0.03945146884783604
34,rank,0.75,0.75,0.7142857142857143,0.0,0.4047980610162215,0.49094689814770365
34,rank_js,0.625,0.625,0.42857142857142855,0.42857142857142855,0.4047980610162215,0.49094689814770365
